"COMPbase","2013-03-25232841","pauligiraldo"
"H2O; Water","cpd:C00001","ko00190;ko00195;ko00710;ko00740;ko00910;ko01100;ko01120;ko04962;ko04964;ko04966;ko04970;ko04971;ko04972;ko04976;ko05014"
"ATP; Adenosine 5'-triphosphate","cpd:C00002","ko00190;ko00195;ko00230;ko00231;ko00680;ko00908;ko00910;ko01100;ko01110;ko03070;ko04020;ko04066;ko04080;ko04142;ko04144;ko04721;ko04911;ko04930;ko05012;ko05133;ko05410"
"NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide","cpd:C00003","ko00190;ko00760;ko00910;ko01100;ko04977"
"NADH; DPNH; Reduced nicotinamide adenine dinucleotide","cpd:C00004","ko00190;ko00910;ko01100;ko04020"
"NADPH; TPNH; Reduced nicotinamide adenine dinucleotide phosphate","cpd:C00005","ko00195;ko00480;ko00910;ko01100"
"NADP+; NADP; Nicotinamide adenine dinucleotide phosphate; beta-Nicotinamide adenine dinucleotide phosphate; TPN; Triphosphopyridine nucleotide","cpd:C00006","ko00195;ko00480;ko00760;ko01100"
"Oxygen; O2","cpd:C00007","ko00190;ko00195;ko00630;ko00740;ko00910;ko01100;ko01110;ko02020;ko04066;ko04145;ko05211"
"ADP; Adenosine 5'-diphosphate","cpd:C00008","ko00190;ko00195;ko00230;ko00680;ko00908;ko00910;ko01100;ko01110;ko04080;ko04142;ko04144;ko05012"
"Orthophosphate; Phosphate; Phosphoric acid; Orthophosphoric acid","cpd:C00009","ko00190;ko00195;ko00550;ko01100;ko02010;ko02020;ko04111;ko04978;ko05012"
"CoA; Coenzyme A; CoA-SH","cpd:C00010","ko00071;ko00770;ko01100;ko04725;ko04975;ko04977"
"CO2; Carbon dioxide","cpd:C00011","ko00230;ko00260;ko00330;ko00361;ko00460;ko00625;ko00630;ko00680;ko00710;ko00720;ko00791;ko00910;ko01100;ko01120;ko04964;ko04966;ko04970;ko04971;ko04972;ko04973;ko04974;ko04976"
"Peptide","cpd:C00012","ko00330"
"Diphosphate; Diphosphoric acid; Pyrophosphate; Pyrophosphoric acid; PPi","cpd:C00013","ko00190;ko05012"
"NH3; Ammonia","cpd:C00014","ko00230;ko00250;ko00260;ko00330;ko00460;ko00630;ko00910;ko01100;ko01110;ko01120;ko04964;ko04966;ko04974;ko05110;ko05120"
"UDP; Uridine 5'-diphosphate","cpd:C00015","ko00240;ko00908;ko01100;ko04080"
"FAD; Flavin adenine dinucleotide","cpd:C00016","ko00740;ko00910;ko01100;ko04977"
"Protein","cpd:C00017","ko00450"
"Pyridoxal phosphate; Pyridoxal 5-phosphate; Pyridoxal 5'-phosphate; PLP","cpd:C00018","ko00750;ko01100;ko04977"
"S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM","cpd:C00019","ko00270;ko00330;ko00908;map01060;map01070;ko01100;ko01110;ko04122"
"AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate","cpd:C00020","ko00230;ko00908;map01060;map01065;map01070;ko01100;ko01110;ko04150;ko04151;ko05012;ko05032"
"S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine","cpd:C00021","ko00270;ko01100"
"Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid","cpd:C00022","ko00010;ko00020;ko00030;ko00040;ko00053;ko00250;ko00260;ko00270;ko00290;ko00330;ko00350;ko00360;ko00362;ko00430;ko00473;ko00620;ko00621;ko00622;ko00630;ko00650;ko00660;ko00680;ko00710;ko00720;ko00730;ko00750;ko00760;ko00770;ko00900;ko00910;map01060;map01061;map01062;map01063;map01064;map01065;map01066;map01070;ko01100;ko01110;ko01120;ko01210;ko02060;ko04066;ko04911;ko04930"
"Iron","cpd:C00023",""
"Acetyl-CoA; Acetyl coenzyme A","cpd:C00024","ko00010;ko00020;ko00061;ko00062;ko00071;ko00072;ko00253;ko00280;ko00290;ko00300;ko00310;ko00360;ko00362;ko00380;ko00410;ko00430;ko00480;ko00562;ko00620;ko00621;ko00622;ko00625;ko00630;ko00640;ko00642;ko00650;ko00680;ko00720;ko00900;ko01056;map01060;map01061;map01062;map01063;map01064;map01065;map01066;map01070;ko01100;ko01110;ko01120;ko01220;ko04066;ko04725;ko04976"
"L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate","cpd:C00025","ko00250;ko00330;ko00340;ko00430;ko00471;ko00480;ko00524;ko00630;ko00650;ko00660;ko00860;ko00910;ko00970;map01060;map01064;ko01100;ko01110;ko01120;ko01210;ko02010;ko04080;ko04540;ko04713;ko04720;ko04721;ko04723;ko04724;ko04727;ko04730;ko04742;ko04964;ko04974;ko05014;ko05016;ko05030;ko05031;ko05033;ko05034"
"2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid","cpd:C00026","ko00020;ko00040;ko00053;ko00250;ko00300;ko00340;ko00430;ko00471;ko00630;ko00650;ko00660;ko00720;ko00750;map01060;map01061;map01062;map01063;map01064;map01065;map01066;map01070;ko01100;ko01110;ko01120;ko01210;ko04066;ko04727;ko04964;ko04976"
"Hydrogen peroxide; H2O2; Oxydol","cpd:C00027","ko00630;ko01110;ko04145;ko04380;ko04626;ko04670;ko04940;ko05010;ko05012;ko05014;ko05020;ko05030;ko05031;ko05034;ko05146;ko05160;ko05164;ko05166;ko05204;ko05322"
"Acceptor; Hydrogen-acceptor; A; Oxidized donor","cpd:C00028",""
"UDP-glucose; UDPglucose; UDP-D-glucose; Uridine diphosphate glucose; UDP-alpha-D-glucose","cpd:C00029","ko00040;ko00052;ko00053;ko00240;ko00500;ko00520;ko00561;ko00908;ko01051;map01060;ko01100;ko01110"
"Reduced acceptor; AH2; Hydrogen-donor; Donor","cpd:C00030",""
"D-Glucose; Grape sugar; Dextrose; Glucose","cpd:C00031","ko00010;ko00030;ko00052;ko00500;ko00520;ko00521;ko00524;ko00901;ko01100;ko01110;ko02010;ko02020;ko02060;ko04066;ko04113;ko04910;ko04911;ko04930;ko04973;ko04976;ko04978"
"Heme; Haem; Protoheme; Heme B; Protoheme IX","cpd:C00032","ko00860;map01060;ko01100;ko01110;ko02010;ko04978"
"Acetate; Acetic acid; Ethanoic acid","cpd:C00033","ko00010;ko00430;ko00440;ko00534;ko00620;ko00660;ko00680;ko00720;ko00908;ko00920;ko01100;ko01110;ko01120;ko01220;ko04725;ko04973;ko04974"
"Manganese","cpd:C00034","ko00195;ko01100;ko02010;ko02020"
"GDP; Guanosine 5'-diphosphate; Guanosine diphosphate","cpd:C00035","ko00230;ko01100;ko03013"
"Oxaloacetate; Oxalacetic acid; Oxaloacetic acid; 2-Oxobutanedioic acid; Oxosuccinic acid; keto-Oxaloacetate","cpd:C00036","ko00010;ko00020;ko00250;ko00362;ko00620;ko00630;ko00680;ko00710;ko00720;map01060;map01061;map01062;map01063;map01064;map01065;map01066;map01070;ko01100;ko01110;ko01120;ko01210;ko02020;ko04964"
"Glycine; Aminoacetic acid; Gly","cpd:C00037","ko00120;ko00230;ko00260;ko00310;ko00460;ko00480;ko00630;ko00680;ko00730;ko00860;ko00910;ko00970;map01060;ko01100;ko01110;ko01120;ko02010;ko04080;ko04721;ko04974;ko04978"
"Zinc cation; Zn2+; Zn(II); Zinc ion","cpd:C00038","ko02010;ko02020;ko04978"
"DNA; DNAn; DNAn+1; (Deoxyribonucleotide)n; (Deoxyribonucleotide)m; (Deoxyribonucleotide)n+m; Deoxyribonucleic acid","cpd:C00039","ko00230;ko00240;ko00312;ko01100"
"Acyl-CoA; Acyl coenzyme A","cpd:C00040","ko00062;ko00561;ko00564;ko01110;ko04920;ko04975"
"L-Alanine; L-2-Aminopropionic acid; L-alpha-Alanine","cpd:C00041","ko00250;ko00270;ko00430;ko00450;ko00473;ko00710;ko00970;map01060;ko01100;ko01120;ko02010;ko04122;ko04974;ko04978"
